id,source,title,language,date,audio_duration,video_duration,speaker,series_name,series_part,series_order,scripture_osis,scripture_book,kind,is_conference,soundcloud_id,youtube_id,topics
sc-2120998923,soundcloud,Questions et Réponses | La Providence de Dieu,fr,2025-06-28,3775,,David Pelosi,,,,,,teaching_or_qa,False,2120998923,AlWPMu-OBqo,
sc-2117744874,soundcloud,Joie chrétienne : l'adoration du Père qui pourvoit,fr,2025-06-22,4006,,David Pelosi,Joie chrétienne,,5,Phil.4.18-Phil.4.20,Phil,sermon,False,2117744874,,Joie chrétienne; Mission et implantation d'églises; Soutien des ministres de l'Évangile; Contentement chrétien; Providence divine; Adoration et offrandes; Vie communautaire de l'Église
sc-2117114544,soundcloud,La Providence de Dieu centrée sur Christ,fr,2025-06-21,3307,,David Pelosi,Épître aux Éphésiens,,4,Eph.1.3-Eph.1.14,Eph,sermon,False,2117114544,,
sc-2113855248,soundcloud,Les degrés et difficultés de la Providence de Dieu,fr,2025-06-15,3113,,David Pelosi,Épître aux Colossiens,,4,Col.1.15-Col.1.19,Col,sermon,False,2113855248,,
sc-2113848477,soundcloud,Joie chrétienne : maturité missionaire d'une Église,fr,2025-06-15,3775,,David Pelosi,Joie chrétienne,,4,Phil.4.14-Phil.4.17,Phil,sermon,False,2113848477,,
sc-2111905611,soundcloud,Joie chrétienne : générosité envers les ministres de l'évangile,fr,2025-06-12,3749,,David Pelosi,Joie chrétienne,,3,Phil.4.10-Phil.4.13,Phil,sermon,False,2111905611,,
sc-2106554973,soundcloud,Les deux différentes voies des hommes selon La Parole,fr,2025-06-02,3620,,Stephan Kongo,Étude — Psaumes,,1,Ps.1,Ps,sermon,False,2106554973,,
sc-2104182597,soundcloud,La définition de la Providence de Dieu,fr,2025-05-29,3027,,David Pelosi,,,,,,sermon,False,2104182597,,
sc-2104141731,soundcloud,Joie Chrétienne : contentement en toute circonstance,fr,2025-05-29,4211,,David Pelosi,Joie chrétienne,,2,Phil.4.4-Phil.4.9,Phil,sermon,False,2104141731,,
sc-2098900806,soundcloud,"Joie Chrétienne : fraternité, prière, et sainteté",fr,2025-05-20,4410,,David Pelosi,Joie chrétienne,,1,Phil.4.2,Phil,sermon,False,2098900806,,
sc-2091255438,soundcloud,Le jugement de Dieu sur Israël pour avoir souillé le sanctuaire,fr,2025-05-06,3822,,David Pelosi,Étude — Ézéchiel,,5,Ezek.5.11-Ezek.5.13,Ezek,sermon,False,2091255438,,
sc-2088231870,soundcloud,Être l'aide en Dieu : Pour l'Église,fr,2025-05-01,2783,,David Pelosi,Être l'aide en Dieu,,3,,,sermon,False,2088231870,,
sc-2088230982,soundcloud,Être l'aide en Dieu : Pour le ministre,fr,2025-05-01,2933,,David Pelosi,Être l'aide en Dieu,,2,,,sermon,False,2088230982,,
sc-2088230604,soundcloud,Être l'aide en Dieu : Pour le mari et le père,fr,2025-05-01,2799,,David Pelosi,Être l'aide en Dieu,,1,,,sermon,False,2088230604,,
